資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	發行商	製片商	統計起始日	統計結束日	統計週期	本期上映院數	本期銷售票數	本期銷售金額	累計上映天數	上映週數	最大上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房截至2017年六月前資訊	35.pdf	13	91	單身騎士	2017-05-12	南韓	可樂藝術文創股份有限公司	M-LINEDISTRIBUTION	2017-06-06	2017-07-05	monthly	3	366	75210	14	9.0	3	366	75210	False
全國電影票房截至2017年六月前資訊	35.pdf	13	92	葛城事件	2017-05-12	日本	可樂藝術文創股份有限公司	COLORBIRD INC.	2017-06-06	2017-07-05	monthly	2	50	10670	7	9.0	2	50	10670	False
全國電影票房截至2017年六月前資訊	35.pdf	14	93	神秘家族	2017-05-19	中華民國	華映娛樂股份有限公司	(中華民國)光影文化傳媒有限公司##(大陸)福建恒業影業有限公司##(大陸)華策影業(天津)有限公司##(大陸)完美星空傳媒有限公司##(大陸)上海世茂文化傳媒有限公司	2017-06-06	2017-07-05	monthly	59	43457	9883887	30	8.0	59	43457	9883887	False
全國電影票房截至2017年六月前資訊	35.pdf	14	94	直播風暴	2017-05-19	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	IM GLOBAL,LLC	2017-06-06	2017-07-05	monthly	68	38573	8825853	28	8.0	68	38573	8825853	False
全國電影票房截至2017年六月前資訊	35.pdf	14	95	園長夫人：動物園的奇蹟	2017-05-19	英國	傳影互動股份有限公司	FILM AND TVHOUSE LIMITED.	2017-06-06	2017-07-05	monthly	29	19470	4454765	36	8.0	29	19470	4454765	False
全國電影票房截至2017年六月前資訊	35.pdf	14	96	危牆狙擊	2017-05-19	美國	海樂影業股份有限公司	FILMNATIONINTERNATIONAL,LLC	2017-06-06	2017-07-05	monthly	42	17684	3890873	21	8.0	42	17684	3890873	False
全國電影票房截至2017年六月前資訊	35.pdf	14	97	台北物語	2017-05-19	中華民國	丰采公關行銷有限公司	丰采公關行銷有限公司	2017-06-06	2017-07-05	monthly	6	15257	3753320	38	8.0	6	15257	3753320	True
全國電影票房截至2017年六月前資訊	35.pdf	14	98	《以愛為名》	2017-05-19	中華民國	華影國際影藝有限公司	大唐國際娛樂股份有限公司##果昱影像製作有限公司	2017-06-06	2017-07-05	monthly	13	9876	2191014	19	8.0	13	9876	2191014	False
全國電影票房截至2017年六月前資訊	35.pdf	15	100	午睡公主~不為人知的故事~	2017-05-19	日本	車庫娛樂股份有限公司	NIPPONTELEVISIONNETWORKCORPORATION	2017-06-06	2017-07-05	monthly	27	3938	835956	29	8.0	27	3938	835956	False
全國電影票房截至2017年六月前資訊	35.pdf	15	101	夢想續航	2017-05-19	中華民國	佳映娛樂國際股份有限公司	佳映娛樂國際股份有限公司	2017-06-06	2017-07-05	monthly	13	2837	624924	22	8.0	13	2837	624924	False
全國電影票房截至2017年六月前資訊	35.pdf	15	102	貝士浮生錄	2017-05-19	美國	翻面映畫有限公司	SLANG EAST WEST	2017-06-06	2017-07-05	monthly	3	1216	279705	17	8.0	3	1216	279705	False
全國電影票房截至2017年六月前資訊	35.pdf	15	103	純情	2017-05-19	南韓	可樂藝術文創股份有限公司	LITTLEBIGPICTURES	2017-06-06	2017-07-05	monthly	4	1111	237845	25	8.0	4	1111	237845	False
全國電影票房截至2017年六月前資訊	35.pdf	15	99	羅曼蒂克消亡史	2017-05-19	中國大陸	華誼兄弟國際傳媒有限公司	(大陸)華誼兄弟電影有限公司##(大陸)海南喜悅電影有限公司##(大陸)海南巨億制夢影業有限公司##(大陸)大地時代文化傳播（北京）有限公司##(大陸)上海電影（集團）有限公司##(大陸)上海東方娛樂傳媒集團有限公司##(大陸)重慶電影集團有限公司##(香港)英皇影業有限公司##(香港)華誼兄弟電影國際有限公司	2017-06-06	2017-07-05	monthly	7	3836	845087	21	8.0	7	3836	845087	False
全國電影票房截至2017年六月前資訊	35.pdf	16	104	哈利本森：大攝影家	2017-05-19	美國	亮點國際影業有限公司	MAGNOLIAPICTURES LLC	2017-06-06	2017-07-05	monthly	5	664	143780	14	8.0	5	664	143780	False
全國電影票房截至2017年六月前資訊	35.pdf	16	105	她們的顫慄故事	2017-05-19	美國	暗光鳥有限公司	XYZ FILMS,LLC	2017-06-06	2017-07-05	monthly	2	277	59705	24	8.0	2	277	59705	False
全國電影票房截至2017年六月前資訊	35.pdf	16	106	鑪場武士	2017-05-19	日本	牽猴子整合行銷股份有限公司	LDH PICTURES	2017-06-06	2017-07-05	monthly	2	76	16420	7	8.0	2	76	16420	False
全國電影票房截至2017年六月前資訊	35.pdf	16	107	極惡刑事	2017-05-19	日本	可樂藝術文創股份有限公司	NIKKATSUCORPORATION	2017-06-06	2017-07-05	monthly	1	34	6570	7	8.0	1	34	6570	False
全國電影票房截至2017年六月前資訊	35.pdf	16	108	加勒比海盜神鬼奇航：死無對證	2017-05-25	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2017-06-06	2017-07-05	monthly	90	963686	226840854	41	7.0	90	963686	226840854	False
全國電影票房截至2017年六月前資訊	35.pdf	16	109	海灘救護隊	2017-05-25	美國	美商美國派拉蒙影片股份有限公司台灣分公司	PARAMOUNTPICTURESCORPORATION	2017-06-06	2017-07-05	monthly	82	340004	78034698	40	7.0	82	340004	78034698	False
全國電影票房截至2017年六月前資訊	35.pdf	16	110	為妳唱的歌	2017-05-26	美國	東昊影業有限公司	(匈牙利)GEMENTERTAINMENTKFT	2017-06-06	2017-07-05	monthly	10	5829	1317627	28	7.0	10	5829	1317627	False
全國電影票房截至2017年六月前資訊	35.pdf	16	111	墨利斯的情人經典數位修復	2017-05-26	美國	天馬行空數位有限公司	INTERNATIONALPRODUCTIONASSOCIATES,INC.(IPA)	2017-06-06	2017-07-05	monthly	6	3254	688861	31	7.0	6	3254	688861	False
全國電影票房截至2017年六月前資訊	35.pdf	16	112	我就是要結婚！	2017-05-26	德國	海鵬影業有限公司	THE MATCHFACTORY GMBH	2017-06-06	2017-07-05	monthly	7	2837	587285	21	7.0	7	2837	587285	False
全國電影票房截至2017年六月前資訊	35.pdf	16	113	玩命鎗火	2017-05-26	英國	采昌國際多媒體股份有限公司	PROTAGONISTPICTURES LIMITED	2017-06-06	2017-07-05	monthly	20	2421	511520	30	7.0	20	2421	511520	False
全國電影票房截至2017年六月前資訊	35.pdf	17	114	愛在回家時	2017-05-26	美國	車庫娛樂股份有限公司	VOLTAGEPICTURES,LLC	2017-06-06	2017-07-05	monthly	8	2043	446440	17	7.0	8	2043	446440	False
全國電影票房截至2017年六月前資訊	35.pdf	17	115	雙面法蘭茲	2017-05-26	法國	佳映娛樂國際股份有限公司	FILMSDISTRIBUTION	2017-06-06	2017-07-05	monthly	3	1076	226790	14	7.0	3	1076	226790	False
全國電影票房截至2017年六月前資訊	35.pdf	17	116	回聲戀習曲	2017-05-26	南韓	可樂藝術文創股份有限公司	FINECUT CO.,LTD.	2017-06-06	2017-07-05	monthly	4	329	70570	12	7.0	4	329	70570	False
全國電影票房截至2017年六月前資訊	35.pdf	17	117	藍心狂想曲	2017-05-26	日本	可樂藝術文創股份有限公司	NIKKATSUCORPORATION	2017-06-06	2017-07-05	monthly	2	67	12220	12	7.0	2	67	12220	False
全國電影票房截至2017年六月前資訊	35.pdf	17	118	吃吃的愛	2017-05-27	中華民國	凱擘影藝股份有限公司	(大陸)樂視影業(北京)有限公司##(香港)樂視影業(香港)有限公司##(香港)海灘娛樂有限公司##(香港)凱擘香港有限公司##(中華民國)原子映象有限公司	2017-06-06	2017-07-05	monthly	61	365969	84682997	39	7.0	61	365969	84682997	False
全國電影票房截至2017年六月前資訊	35.pdf	17	119	坎特伯雷故事	2017-05-27	義、法	台灣電影文化協會	Park Circus Group	2017-06-06	2017-07-05	monthly	1	236	35850	3	7.0	1	236	35850	False
全國電影票房截至2017年六月前資訊	35.pdf	17	120	繆思研究院	2017-05-27	西班牙	台灣電影文化協會	P.C. GUERIN &ORFEO FILMS, S.L.	2017-06-06	2017-07-05	monthly	1	173	25710	3	7.0	1	173	25710	False
全國電影票房截至2017年六月前資訊	35.pdf	17	121	夜行盛宴	2017-05-27	比利時	台灣電影文化協會	Wild Bunch	2017-06-06	2017-07-05	monthly	1	136	20610	3	7.0	1	136	20610	False
全國電影票房截至2017年六月前資訊	35.pdf	17	122	索多瑪120天	2017-05-28	義、法	台灣電影文化協會	Park Circus Group	2017-06-06	2017-07-05	monthly	1	228	37680	3	7.0	1	228	37680	False
全國電影票房截至2017年六月前資訊	35.pdf	18	123	一千零一夜	2017-05-28	義、法	台灣電影文化協會	Park Circus Group	2017-06-06	2017-07-05	monthly	1	230	36570	3	7.0	1	230	36570	False
全國電影票房截至2017年六月前資訊	35.pdf	18	124	編織愛情的詩光	2017-05-28	烏克蘭	台灣電影文化協會	Everything Worksdo.o.	2017-06-06	2017-07-05	monthly	1	118	18960	3	7.0	1	118	18960	False
全國電影票房截至2017年六月前資訊	35.pdf	18	125	鄉村醫生+蒙馬特．女書	2017-05-29	日本/香港	台灣電影文化協會	YamamuraAnimation##香港電台	2017-06-06	2017-07-05	monthly	1	234	37530	3	6.0	1	234	37530	False
全國電影票房截至2017年六月前資訊	35.pdf	18	126	紐約書評：爭鳴50年	2017-05-29	美國	台灣電影文化協會	Cinephil-PhilippaKowarsky ProductionsLtd	2017-06-06	2017-07-05	monthly	1	177	27900	3	6.0	1	177	27900	False
全國電影票房截至2017年六月前資訊	35.pdf	18	127	寫在戰火蔓延時	2017-05-29	葡萄牙	台灣電影文化協會	The Match Factory	2017-06-06	2017-07-05	monthly	1	72	10740	3	6.0	1	72	10740	False
全國電影票房截至2017年六月前資訊	35.pdf	18	128	神力女超人	2017-05-30	美國	美商華納兄弟(遠東)股份有限公司台灣分公司	WARNER BROS.PICTURESINTERNATIONAL.	2017-06-06	2017-07-05	monthly	87	1339622	320443430	36	6.0	87	1339622	320443430	False
全國電影票房截至2017年六月前資訊	35.pdf	18	129	十日談	2017-05-30	義、法、西德	台灣電影文化協會	Park Circus Group	2017-06-06	2017-07-05	monthly	1	228	36390	3	6.0	1	228	36390	False
全國電影票房截至2017年六月前資訊	35.pdf	18	130	卡夫卡之洞	2017-05-30	德國	台灣電影文化協會	Beta Cinema	2017-06-06	2017-07-05	monthly	1	115	17850	3	6.0	1	115	17850	False
全國電影票房截至2017年六月前資訊	35.pdf	18	131	那個靜默的陽光午後	2017-03-24	中華民國	牽猴子整合行銷股份有限公司	舊視界文化藝術有限公司	2017-06-06	2017-07-05	monthly	NULL	111	19210	45	16.0	18	11889	2663452	False
全國電影票房截至2017年六月前資訊	35.pdf	2	17	母貓	2017-02-17	日本	車庫娛樂股份有限公司	NIKKATSUCORPORATION	2017-06-06	2017-07-05	monthly	NULL	3	630	23	21.0	4	723	161185	False
全國電影票房截至2017年六月前資訊	35.pdf	2	18	機密同盟	2017-02-17	南韓	車庫娛樂股份有限公司	CJ E&MCORPORATION	2017-06-06	2017-07-05	monthly	NULL	508	74870	54	21.0	10	4263	923749	False
全國電影票房截至2017年六月前資訊	35.pdf	2	19	沉默	2017-02-17	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	IM GLOBAL,LLC	2017-06-06	2017-07-05	monthly	NULL	38	5700	84	21.0	68	69032	15767796	False
全國電影票房截至2017年六月前資訊	35.pdf	2	20	她的危險遊戲	2017-02-17	美國	中華民國電影事業發展基金會	博偉電影股份有限公司	2017-06-06	2017-07-05	monthly	NULL	517	54570	86	21.0	12	7294	1505231	False
全國電影票房截至2017年六月前資訊	35.pdf	2	21	救命解藥	2017-02-17	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETHCENTURY FOXINTERNATIONALCORPORATION	2017-06-06	2017-07-05	monthly	NULL	1886	108890	88	21.0	79	75624	16818347	False
全國電影票房截至2017年六月前資訊	35.pdf	2	22	為了與你相遇	2017-02-24	美國	美商美國環球影片股份有限公司台灣分公司	UNIVERSALINTERNATIONALFILMS LLC	2017-06-06	2017-07-05	monthly	NULL	2277	127180	97	20.0	95	305261	69219176	False
全國電影票房截至2017年六月前資訊	35.pdf	2	23	羅根(數位IMAX2D版)	2017-02-28	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETHCENTURY FOXINTERNATIONALCORPORATION.	2017-06-06	2017-07-05	monthly	NULL	5361	473645	113	19.0	104	940885	221478181	False
全國電影票房截至2017年六月前資訊	35.pdf	2	24	攻敵必救	2017-03-03	法國	海樂影業股份有限公司	EUROPA CORP	2017-06-06	2017-07-05	monthly	NULL	1505	149425	104	19.0	44	47344	10307445	False
全國電影票房截至2017年六月前資訊	35.pdf	3	25	漫漫回家路	2017-03-03	英國	采昌國際多媒體股份有限公司	FILM & TV HOUSELIMITED	2017-06-06	2017-07-05	monthly	NULL	1261	94040	108	19.0	41	48066	10441353	False
全國電影票房截至2017年六月前資訊	35.pdf	3	26	危機救援	2017-03-10	俄羅斯	車庫娛樂股份有限公司	CENTRALPARTNERSHIPSALES HOUSE	2017-06-06	2017-07-05	monthly	NULL	13	2680	19	18.0	7	1298	272465	False
全國電影票房截至2017年六月前資訊	35.pdf	3	27	當他們認真編織時	2017-03-10	日本	絕色國際有限公司	NIKKATSUCORPORATION	2017-06-06	2017-07-05	monthly	NULL	467	40880	53	18.0	23	22548	5064021	False
全國電影票房截至2017年六月前資訊	35.pdf	3	28	明天，我要和昨天的妳約會	2017-03-10	日本	采昌國際多媒體股份有限公司	TOHO CO.,LTD.	2017-06-06	2017-07-05	monthly	NULL	2610	289025	110	18.0	35	77959	17886657	False
全國電影票房截至2017年六月前資訊	35.pdf	3	29	美女與野獸(數位IMAX2D版)	2017-03-16	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2017-06-06	2017-07-05	monthly	NULL	11039	831231	92	17.0	102	1074337	250659578	False
全國電影票房截至2017年六月前資訊	35.pdf	3	30	亞美尼亞大地震	2017-03-17	俄羅斯	車庫娛樂股份有限公司	(美國)CMSALES,LLC	2017-06-06	2017-07-05	monthly	NULL	411	100240	14	17.0	13	2307	503160	False
全國電影票房截至2017年六月前資訊	35.pdf	3	31	這不是色情電影	2017-03-17	日本	車庫娛樂股份有限公司	NIKKATSUCORPORATION	2017-06-06	2017-07-05	monthly	NULL	414	37220	37	17.0	5	1004	166030	False
全國電影票房截至2017年六月前資訊	35.pdf	3	32	限時救援	2017-03-17	美國	香港商甲上娛樂有限公司台灣分公司	OPEN ROADINTERNATIONALLLC	2017-06-06	2017-07-05	monthly	NULL	422	44980	68	17.0	58	44915	10085748	False
全國電影票房截至2017年六月前資訊	35.pdf	3	33	走進希望無限的森林	2017-03-20	加拿大	高雄市電影館	得利影視股份有限公司	2017-06-06	2017-07-05	monthly	NULL	2	300	4	16.0	1	19	2810	False
全國電影票房截至2017年六月前資訊	35.pdf	4	34	異星智慧	2017-03-23	美國	博偉電影股份有限公司	SONY PICTURESRELEASINGINTERNATIONALCORPORATION.	2017-06-06	2017-07-05	monthly	NULL	2875	260960	76	16.0	92	126557	28112659	False
全國電影票房截至2017年六月前資訊	35.pdf	4	35	金爆內幕	2017-03-24	美國	香港商甲上娛樂有限公司台灣分公司	BBP GOLD,LLC	2017-06-06	2017-07-05	monthly	NULL	83	8300	61	16.0	27	12603	2831092	False
全國電影票房截至2017年六月前資訊	35.pdf	4	36	神奇大隊長	2017-03-24	匈牙利	樂到家國際娛樂股份有限公司	FREEWAYENTERTAINMENTKFT.	2017-06-06	2017-07-05	monthly	NULL	147	21060	63	16.0	17	7587	1608675	False
全國電影票房截至2017年六月前資訊	35.pdf	4	37	金剛戰士	2017-03-24	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	(英國)LIONS GATEINTERNATIONAL(UK) LIMITED	2017-06-06	2017-07-05	monthly	NULL	264	20890	65	16.0	85	109996	24855293	False
全國電影票房截至2017年六月前資訊	35.pdf	4	38	我和我的冠軍女兒	2017-03-24	印度	車庫娛樂股份有限公司	UTV SOFTWARECOMMUNICATIONSLIMITED	2017-06-06	2017-07-05	monthly	NULL	17200	3951926	102	16.0	63	701342	164369636	False
全國電影票房截至2017年六月前資訊	35.pdf	4	39	循跡線索	2017-03-26	美國	電影創作協會	RAVEN BANNERENTERTAINMENTINC.	2017-06-06	2017-07-05	monthly	1	6	700	2	16.0	1	6	700	False
全國電影票房截至2017年六月前資訊	35.pdf	4	40	攻殼機動隊	2017-03-30	美國	美商美國派拉蒙影片股份有限公司台灣分公司	PARAMOUNTPICTURESCORPORATION	2017-06-06	2017-07-05	monthly	NULL	3519	301648	53	15.0	99	340273	84167451	False
全國電影票房截至2017年六月前資訊	35.pdf	5	41	藍色小精靈：失落的藍藍村	2017-03-31	美國	博偉電影股份有限公司	SONY PICTURESRELEASINGINTERNATIONALCORPORATION.	2017-06-06	2017-07-05	monthly	NULL	1797	110780	74	15.0	78	26536	5599994	False
全國電影票房截至2017年六月前資訊	35.pdf	5	42	目擊者	2017-03-31	中華民國	威視股份有限公司	嘉揚電影有限公司##(大陸)浙江觀鑒影業有限公司##(大陸)海寧鐵幕真文化傳媒有限公司##(大陸)海寧觀盈影視文化有限公司##(大陸)喀什嘉映文化傳媒有限公司	2017-06-06	2017-07-05	monthly	NULL	7376	611555	74	15.0	79	231704	52358962	False
全國電影票房截至2017年六月前資訊	35.pdf	5	43	寶貝老闆	2017-03-31	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETHCENTURY FOXINTERNATIONALCORPORATION.	2017-06-06	2017-07-05	monthly	NULL	1630	322525	94	15.0	87	422541	96814466	False
全國電影票房截至2017年六月前資訊	35.pdf	5	44	愛上火星男孩	2017-04-07	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	STXPRODUCTIONS,LLC	2017-06-06	2017-07-05	monthly	NULL	1083	102920	43	14.0	32	6326	1159073	False
全國電影票房截至2017年六月前資訊	35.pdf	5	45	辦公室大狂殺	2017-04-07	美國	傳影互動股份有限公司	METRO GOLDWYNMAYER STUDIOSINC.	2017-06-06	2017-07-05	monthly	NULL	1644	90740	58	14.0	36	32968	7425509	False
全國電影票房截至2017年六月前資訊	35.pdf	5	46	玩命關頭8	2017-04-12	美國	美商美國環球影片股份有限公司台灣分公司	UNIVERSALINTERNATIONALFILMS LLC	2017-06-06	2017-07-05	monthly	NULL	851	214050	67	13.0	88	2651879	648997308	False
全國電影票房截至2017年六月前資訊	35.pdf	6	47	小鎮醫生	2017-04-14	法國	天馬行空數位有限公司	LE PACTE	2017-06-06	2017-07-05	monthly	NULL	118	17940	35	13.0	5	1791	349350	False
全國電影票房截至2017年六月前資訊	35.pdf	6	48	日常對話	2017-04-14	中華民國	黃惠偵	黃惠偵	2017-06-06	2017-07-05	monthly	NULL	145	27550	47	13.0	16	18287	4049134	False
全國電影票房截至2017年六月前資訊	35.pdf	6	49	電影版影子籃球員LASTGAME	2017-04-19	日本	群英社國際股份有限公司	NIHON ADSYSTEMS,INC.	2017-06-06	2017-07-05	monthly	NULL	17	3740	54	12.0	9	21195	5086548	False
全國電影票房截至2017年六月前資訊	35.pdf	6	50	USSI：勇者無畏	2017-04-21	美國	車庫娛樂股份有限公司	HANNIBALCLASSICS INC.	2017-06-06	2017-07-05	monthly	NULL	17	3500	32	12.0	2	415	87970	False
全國電影票房截至2017年六月前資訊	35.pdf	6	51	金權性內幕	2017-04-21	南韓	得藝文創國際股份有限公司	NEXTENTERTAINMENTWORLD	2017-06-06	2017-07-05	monthly	NULL	76	11700	33	12.0	8	2446	568887	False
全國電影票房截至2017年六月前資訊	35.pdf	7	52	拆彈專家	2017-04-21	香港	英屬維京群島商高捷全球開發有限公司 台灣分公司	(英屬維爾京群島)寰宇娛樂有限公司##(香港)夢造者娛樂有限公司##(大陸)博納影業集團有限公司##(大陸)小米影業有限責任公司##(大陸)上海騰訊企鵝影視文化傳播有限公司##(大陸)廣東昇格傳媒股份有限公司##(大陸)廣州市英明文化傳播有限公司##(大陸)上海淘票票影視文化有限公司	2017-06-06	2017-07-05	monthly	NULL	1663	125320	50	12.0	60	78521	17748144	False
全國電影票房截至2017年六月前資訊	35.pdf	7	53	柯羅索巨獸	2017-04-21	美國	威視股份有限公司	VOLTAGEPICTURES,LLC	2017-06-06	2017-07-05	monthly	NULL	4443	389705	53	12.0	72	41797	9029069	False
全國電影票房截至2017年六月前資訊	35.pdf	7	54	這時對，那時錯	2017-04-22	南韓	可樂藝術文創股份有限公司	FINECUT CO., LTD.	2017-06-06	2017-07-05	monthly	NULL	1	190	2	12.0	1	3	570	False
全國電影票房截至2017年六月前資訊	35.pdf	7	55	絕命迴圈	2017-04-24	匈牙利	電影創作協會	MAGYAR ENMZETIFILMALAPKOZHASZNUNONPROFIT ZPT	2017-06-06	2017-07-05	monthly	NULL	1	150	3	11.0	1	16	2230	False
全國電影票房截至2017年六月前資訊	35.pdf	8	56	星際異攻隊2	2017-04-27	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2017-06-06	2017-07-05	monthly	NULL	579	144292	51	11.0	87	587720	142477585	False
全國電影票房截至2017年六月前資訊	35.pdf	8	57	最完美的女孩	2017-04-28	中華民國	威視股份有限公司	(中華民國)奧瑪優勢傳媒娛樂行銷有限公司##(中華民國)海王天璽文化傳媒股份有限公司##(馬來西亞)姿雅國際有限公司##(馬來西亞)點擊娛樂有限公司##(馬來西亞)勝威國際##(馬來西亞)勝威文化傳播##(香港)耀榮文化##(香港)天泉鼎豐(集團)有限公司##(大陸)金銀國(廈門)文化傳媒有限公司	2017-06-06	2017-07-05	monthly	NULL	706	35300	37	11.0	44	21641	4779619	False
全國電影票房截至2017年六月前資訊	35.pdf	8	58	100公尺的人生	2017-04-28	西班牙	采昌國際多媒體股份有限公司	CASTELAOPICTURES,S.L.	2017-06-06	2017-07-05	monthly	NULL	31	6820	37	11.0	12	9640	2173542	False
全國電影票房截至2017年六月前資訊	35.pdf	8	59	天才的禮物	2017-04-28	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETHCENTURY FOXINTERNATIONALCORPORATION.	2017-06-06	2017-07-05	monthly	NULL	247	60324	53	11.0	62	144772	33150397	False
全國電影票房截至2017年六月前資訊	35.pdf	9	60	春嬌救志明	2017-04-28	香港	華映娛樂股份有限公司	(香港)寰亞電影製作有限公司##(香港)太陽娛樂文化有限公司##(大陸)霍爾果斯青春光線影業有限公司##(大陸)中影寰亞音像製品有限公司##(大陸)寰亞電影發行(北京)有限公司##(大陸)上海盛岳影視傳播有限公司	2017-06-06	2017-07-05	monthly	NULL	1449	119160	57	11.0	55	52044	11838820	False
全國電影票房截至2017年六月前資訊	35.pdf	9	61	天聲男孩	2017-05-02	美國	原創	CAPTIVEENTERTAINMENTINC.	2017-06-06	2017-07-05	monthly	1	150	36000	1	10.0	1	150	36000	False
全國電影票房截至2017年六月前資訊	35.pdf	9	62	末日前上路	2017-05-02	法國	佳映娛樂國際股份有限公司	WILD BUNCH	2017-06-06	2017-07-05	monthly	1	120	25790	13	10.0	1	120	25790	False
全國電影票房截至2017年六月前資訊	35.pdf	9	63	我們善熙	2017-05-02	南韓	可樂藝術文創股份有限公司	FINECUT CO.,LTD.	2017-06-06	2017-07-05	monthly	1	6	1040	1	10.0	1	6	1040	False
全國電影票房截至2017年七月前資訊	36.pdf	0	1	樂來越愛你	2016-12-09	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	(英國)LIONS GATEINTERNATIONAL (UK)LIMITED	2017-07-06	2017-08-05	monthly	NULL	100	23000	149	35.0	89	560953	132621642	False
全國電影票房截至2017年七月前資訊	36.pdf	0	10	明天，我要和昨天的妳約會	2017-03-10	日本	采昌國際多媒體股份有限公司	TOHO CO.,LTD.	2017-07-06	2017-08-05	monthly	NULL	243	23615	121	22.0	35	78202	17910272	False
全國電影票房截至2017年七月前資訊	36.pdf	0	11	美女與野獸(數位IMAX2D版)	2017-03-16	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2017-07-06	2017-08-05	monthly	NULL	8006	655750	123	21.0	103	1082343	251315328	False
全國電影票房截至2017年七月前資訊	36.pdf	0	12	異星智慧	2017-03-23	美國	博偉電影股份有限公司	SONY PICTURESRELEASINGINTERNATIONAL	2017-07-06	2017-08-05	monthly	NULL	341	34360	87	20.0	92	126898	28147019	False
全國電影票房截至2017年七月前資訊	36.pdf	0	13	我和我的冠軍女兒	2017-03-24	印度	車庫娛樂股份有限公司	UTV SOFTWARECOMMUNICATIONS	2017-07-06	2017-08-05	monthly	NULL	2610	589770	127	20.0	63	703952	164959406	False
全國電影票房截至2017年七月前資訊	36.pdf	0	14	金剛戰士	2017-03-24	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	(英國)LIONS GATEINTERNATIONAL(UK)LIMITED	2017-07-06	2017-08-05	monthly	NULL	81	8330	75	20.0	85	110077	24863623	False
全國電影票房截至2017年七月前資訊	36.pdf	0	2	四百擊	2016-12-23	法國	台灣電影文化協會	法國在台協會	2017-07-06	2017-08-05	monthly	1	13	1830	1	33.0	1	13	1830	False
全國電影票房截至2017年七月前資訊	36.pdf	0	3	樂高蝙蝠俠電影	2017-02-08	美國	美商華納兄弟(遠東)股份有限公司台灣分公司	WARNER BROS. PICTURESINTERNATIONAL	2017-07-06	2017-08-05	monthly	NULL	592	57670	124	26.0	83	98610	23193368	False
全國電影票房截至2017年七月前資訊	36.pdf	0	4	酷瓜人生	2017-02-10	南韓	佳映娛樂國際股份有限公司	INDIE SALES	2017-07-06	2017-08-05	monthly	NULL	174	32170	28	26.0	11	2852	591935	False
全國電影票房截至2017年七月前資訊	36.pdf	0	5	救命解藥	2017-02-17	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETH CENTURY FOXINTERNATIONALCORPORATION	2017-07-06	2017-08-05	monthly	NULL	19	2850	92	25.0	79	75643	16821197	False
全國電影票房截至2017年七月前資訊	36.pdf	0	6	守護者聯盟	2017-02-24	俄羅斯	車庫娛樂股份有限公司	(賽普勒斯)DECOMPISTRADING LIMITED	2017-07-06	2017-08-05	monthly	NULL	1360	119860	82	24.0	72	61562	13833389	False
全國電影票房截至2017年七月前資訊	36.pdf	0	7	漫漫回家路	2017-03-03	英國	采昌國際多媒體股份有限公司	FILM & TV HOUSE LIMITED	2017-07-06	2017-08-05	monthly	NULL	839	41950	118	23.0	41	48905	10483303	False
全國電影票房截至2017年七月前資訊	36.pdf	0	8	月光下的藍色男孩	2017-03-03	美國	傳影互動股份有限公司	A24 INTERNATIONAL LLC.	2017-07-06	2017-08-05	monthly	NULL	2538	504555	75	23.0	15	27221	5937005	False
全國電影票房截至2017年七月前資訊	36.pdf	0	9	金剛：骷髏島	2017-03-09	美國	美商華納兄弟(遠東)股份有限公司台灣分公司	WARNER BROS. PICTURESINTERNATIONAL.	2017-07-06	2017-08-05	monthly	NULL	15547	1206735	121	22.0	103	1078386	256546290	False
全國電影票房截至2017年七月前資訊	36.pdf	1	15	攻殼機動隊	2017-03-30	美國	美商美國派拉蒙影片股份有限公司台灣分公司	PARAMOUNT PICTURESCORPORATION	2017-07-06	2017-08-05	monthly	NULL	6704	531395	77	19.0	101	346977	84698846	False
全國電影票房截至2017年七月前資訊	36.pdf	1	16	寶貝老闆	2017-03-31	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETH CENTURY FOXINTERNATIONALCORPORATION.	2017-07-06	2017-08-05	monthly	NULL	15316	1157215	125	19.0	99	437857	97971681	False
