資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	上映週數	上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2018年01/29-02/04統計資訊	69.pdf	11	85	女王與知己	2017-11-03	美國	14.0	48	31849	6885757	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	9	87	梵谷：星夜之謎	2017-10-20	英國	18.0	11	28806	6545428	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	6	56	電影哆啦A夢《大雄的南極冰天雪地大冒險》	2017-08-28	日本	10.0	39	28000	6445649	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	5	53	人生起跑線	2018-03-16	印度	7.0	37	28111	6304909	False
全國電影票房截至2017年二月前資訊	31.pdf	0	5	腸腸搞轟趴	2016-11-11	美國	17.0	47	27522	6281769	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	12	95	你是我的勇氣	2017-10-13	美國	17.0	3	28483	6231404	False
全國電影票房截至2017年八月前資訊	37.pdf	1	19	心靈小屋	2017-05-12	美國	18.0	19	29364	6179520	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	8	82	乒乓少女大逆襲	2017-11-10	日本	15.0	30	27056	6175002	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	9	84	彩虹小馬大電影	2017-10-06	美國	21.0	6	26579	6088054	False
全國電影票房截至2017年四月前資訊	33.pdf	1	17	速食遊戲	2017-01-06	美國	18.0	37	25367	6004882	False
全國電影票房截至2017年四月前資訊	33.pdf	2	21	巧虎繪本王國歷險記	2017-01-13	日本	17.0	46	26492	6003561	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	8	65	我要為你呼吸	2017-11-03	英國	12.0	48	27789	5980710	False
全國電影票房截至2017年七月前資訊	36.pdf	0	8	月光下的藍色男孩	2017-03-03	美國	23.0	15	27221	5937005	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	10	81	羅根好好運	2017-08-24	美國	20.0	72	28394	5834638	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	3	41	恩德培行動	2018-04-04	美國	5.0	53	25034	5668147	False
全國電影票房截至2017年九月前資訊	38.pdf	4	45	奪命潘朵拉	2017-07-07	美國	14.0	49	26868	5646153	False
全國電影票房截至2017年七月前資訊	36.pdf	1	18	藍色小精靈：失落的藍藍村	2017-03-31	美國	19.0	78	26895	5629894	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	4	48	七月與安生	2018-03-23	中國大陸	7.0	21	24247	5616791	False
全國電影票房截至2017年九月前資訊	38.pdf	10	94	第22年的告白-我是殺人犯-	2017-08-25	日本	7.0	33	24036	5607900	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	6	44	THUNDERBOLTFANTASY生死一劍	2017-12-08	中華民國	7.0	10	22937	5584073	False
全國電影票房2018年04/16-04/22統計資訊	83.pdf	2	35	大陸七月與安生	2018-03-23	中國	5.0	13	23675	5490406	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	5	74	石器小英雄	2018-01-26	法國 	11.0	38	24749	5481267	False
全國電影票房截至2017年二月前資訊	31.pdf	0	12	一路順風	2016-11-18	中華民國	16.0	41	25025	5405875	False
全國電影票房截至2017年四月前資訊	33.pdf	8	68	林北小舞	2017-03-10	中華民國	9.0	26	24429	5383963	False
全國電影票房2018年01/22-01/28統計資訊	68.pdf	9	82	綁架	2017-11-03	美國	13.0	52	24767	5276342	False
全國電影票房截至2017年一月前資訊	27.pdf	1	36	育陰房	2016-11-25	法國	11.0	45	23472	5273898	False
全國電影票房截至2017年九月前資訊	38.pdf	9	84	電影版妖怪手錶：飛天巨鯨與兩個世界的大冒險喵！	2017-08-18	日本	8.0	33	23050	5262946	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	8	89	與妳的第100次愛戀	2017-05-05	日本	45.0	37	23687	5244409	False
全國電影票房截至2017年四月前資訊	33.pdf	0	7	黑熊森林	2016-12-09	中華民國	22.0	13	23147	5212627	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	8	89	相愛相親	2017-11-17	中國大陸	18.0	21	23179	5153016	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	52	糯爾摩斯	2018-04-04	美國	7.0	73	22669	5149545	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	100	REAL	2017-08-04	南韓	42.0	13	23221	5130878	True
全國電影票房截至2017年六月前資訊	35.pdf	6	49	電影版影子籃球員LASTGAME	2017-04-19	日本	12.0	9	21195	5086548	False
全國電影票房截至2017年六月前資訊	35.pdf	3	27	當他們認真編織時	2017-03-10	日本	18.0	23	22548	5064021	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	5	47	不幹了！我開除了黑心公司	2017-08-18	日本	12.0	20	21380	5016144	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	3	30	一一	2017-07-28	中華民國	15.0	16	21687	4986957	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	5	50	魔法科高中的劣等生呼喚繁星的少女	2017-12-22	日本	9.0	9	20205	4960267	False
全國電影票房2018年01/08-01/14統計資訊	66.pdf	10	77	比海還深	2016-09-02	日本	72.0	1	21691	4813737	False
全國電影票房截至2017年七月前資訊	36.pdf	3	29	最完美的女孩	2017-04-28	中華民國	15.0	44	21717	4783419	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	5	65	1987：黎明到來的那一天	2018-01-12	南韓	14.0	32	21000	4779947	False
全國電影票房截至2017年八月前資訊	37.pdf	2	23	園長夫人：動物園的奇蹟	2017-05-19	英國	17.0	34	21314	4654875	False
全國電影票房截至2017年一月前資訊	27.pdf	0	16	惡魔蛙男	2016-11-12	日本	13.0	49	20280	4566442	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	6	72	解憂雜貨店華語版	2018-01-10	中國大陸	11.0	23	20600	4419486	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	8	72	我想吃掉你的胰臟	2017-10-06	日本	14.0	1	19322	4410135	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	8	7	還有機會說再見	2017-09-01	美國	14.0	52	20794	4331897	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	7	59	殺破狼.貪狼	2017-09-01	香港	10.0	41	18732	4262112	False
全國電影票房截至2017年二月前資訊	31.pdf	1	19	墮落天使	2016-12-02	美國	14.0	55	19633	4231940	False
全國電影票房截至2017年七月前資訊	36.pdf	5	58	惡靈古堡：血仇	2017-06-02	日本	10.0	10	17157	4216958	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	4	危牆狙擊	2017-05-19	美國	25.0	49	20346	4129263	False
全國電影票房截至2017年九月前資訊	38.pdf	0	7	日常對話	2017-04-14	中華民國	26.0	16	18425	4080954	False
全國電影票房截至2017年八月前資訊	37.pdf	5	56	魔導少年劇場版龍之淚	2017-07-07	日本	10.0	16	17129	4062706	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	5	48	東京喰種	2017-08-18	日本	12.0	37	17447	4021203	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	8	88	天劫：救贖之戰	2017-12-08	美國	16.0	35	19047	3985347	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	101	台北物語	2017-05-19	中華民國	53.0	6	16094	3953520	True
全國電影票房截至2017年四月前資訊	33.pdf	7	58	異星引力	2017-03-03	俄羅斯	10.0	51	17663	3940588	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	3	市長夫人的秘密	2018-05-11	中華民國	2.0	61	17443	3922363	True
全國電影票房2018年01/08-01/14統計資訊	66.pdf	8	65	猛鬼抓交替	2017-10-06	美國	15.0	2	17305	3919723	False
全國電影票房截至2017年四月前資訊	33.pdf	5	37	黑執事劇場版豪華客船編	2017-02-10	日本	13.0	10	15779	3861541	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	2	厭世媽咪日記	2018-05-11	美國	2.0	27	16118	3837856	True
全國電影票房截至2017年三月前資訊	32.pdf	0	5	夜行動物	2016-12-02	美國	19.0	29	18512	3781616	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	10	84	愛情齡距離	2017-09-15	美國	15.0	52	18672	3714023	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	1	13	死小孩	2017-06-23	日本	20.0	23	16540	3691670	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	22	刺殺終點戰	2018-05-04	美國	3.0	50	15599	3648027	True
全國電影票房2018年03/26-04/01統計資訊	80.pdf	8	98	神力女超人的秘密	2017-11-10	美國	21.0	62	17273	3602479	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	4	42	舞動心跳	2017-08-11	匈牙利	13.0	48	15941	3590126	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	7	55	聖鹿之死	2017-12-22	英國	7.0	19	15550	3579578	False
全國電影票房截至2017年四月前資訊	33.pdf	2	22	拆彈少年	2017-01-13	丹麥	17.0	15	16005	3562827	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	7	80	老娘叫譚雅	2018-01-26	美國	16.0	28	16796	3474498	False
全國電影票房截至2017年三月前資訊	32.pdf	3	32	療養怨	2017-01-06	美國	14.0	29	15434	3334633	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	3	31	芭蕾奇緣	2017-07-28	法國	15.0	17	15688	3333070	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	9	87	正念的奇蹟	2017-09-01	英國	18.0	10	14652	3314368	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	6	62	翻滾吧！男人	2017-10-27	中華民國	10.0	18	14848	3304881	False
全國電影票房截至2017年四月前資訊	33.pdf	9	82	救殭清道夫	2017-03-17	香港	8.0	43	15064	3295999	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	23	低壓槽	2018-05-04	香港	3.0	59	14711	3256612	True
全國電影票房截至2017年五月前資訊	34.pdf	3	22	第一夫人的秘密	2017-02-24	美國	16.0	25	14452	3235990	False
全國電影票房截至2017年九月前資訊	38.pdf	3	40	巴霍巴利王：磅礡終章	2017-06-30	印度	15.0	19	15524	3207692	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	54	老闆好壞	2018-03-30	美國	8.0	39	14164	3156058	True
全國電影票房2017年12/11-12/17統計資訊	50.pdf	6	53	關原之戰	2017-11-10	日本	6.0	11	13884	3132369	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	2	31	真愛趁現在	2018-04-13	美國	4.0	7	13318	3117031	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	4	今夜，在浪漫劇場與妳相遇	2018-05-11	日本	2.0	42	13525	3109251	True
全國電影票房2018年04/09-04/15統計資訊	82.pdf	2	25	瘋人院	2018-03-23	美國	4.0	29	13170	3053171	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	12	96	魅惑	2017-07-28	美國	22.0	40	13937	2997189	False
全國電影票房截至2017年九月前資訊	38.pdf	3	34	接線員	2017-06-23	中華民國	16.0	16	13632	2957018	False
全國電影票房截至2017年三月前資訊	32.pdf	0	8	失控隧道	2016-12-09	南韓	18.0	31	13617	2955039	False
全國電影票房截至2017年五月前資訊	34.pdf	13	94	WEAREX：XJAPAN重生之路	2017-04-24	美國	7.0	10	12432	2952319	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	53	最酷的旅伴	2018-04-03	法國	7.0	9	13729	2946960	True
全國電影票房截至2017年三月前資訊	32.pdf	3	25	深夜食堂電影版2	2016-12-30	日本	15.0	33	13404	2944724	False
全國電影票房截至2017年四月前資訊	33.pdf	0	2	單車天使	2016-11-11	中華民國	26.0	17	13160	2858278	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	43	厄夢娃娃屋	2018-04-20	法國	5.0	24	12297	2853756	True
全國電影票房截至2017年一月前資訊	27.pdf	1	23	POKE'MONTHEMOVIEXY&Z波爾凱尼恩與機關人偶瑪機雅娜	2016-11-18	日本	12.0	14	12499	2844260	False
全國電影票房截至2017年一月前資訊	27.pdf	6	112	深夜食堂電影版	2016-12-30	日本	6.0	30	12657	2835424	False
全國電影票房截至2017年六月前資訊	35.pdf	4	35	金爆內幕	2017-03-24	美國	16.0	27	12603	2831092	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	6	59	設局	2017-12-15	西班牙	11.0	18	12570	2777660	False
全國電影票房截至2017年二月前資訊	31.pdf	0	7	牯嶺街少年殺人事件	2016-11-11	中華民國	17.0	13	11222	2718213	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	8	81	推倒白宮的男人	2017-11-10	美國	15.0	28	12998	2690725	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	33	羊之木	2018-04-27	日本	4.0	15	11921	2670930	True
全國電影票房截至2017年六月前資訊	35.pdf	18	131	那個靜默的陽光午後	2017-03-24	中華民國	16.0	18	11889	2663452	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	6	67	完美社區謀殺案	2017-12-01	美國	12.0	30	11822	2659289	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	4	46	小猫巴克里	2017-12-29	中華民國	8.0	26	11635	2653213	False
全國電影票房截至2017年九月前資訊	38.pdf	7	71	蠟筆小新電影宇宙人PI力來襲	2017-08-04	日本	10.0	14	11375	2600315	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	3	40	特別版FREE！男子游泳部－TAKEYOURMARKS－	2018-04-04	日本	4.0	13	10269	2530721	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	62	先生！我可以喜歡你嗎	2018-03-09	日本	11.0	25	10747	2507910	True
全國電影票房截至2017年九月前資訊	38.pdf	2	28	戀妻家宮本	2017-06-16	日本	17.0	15	11667	2500981	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	8	72	哈佛沒教的幸福課	2017-09-08	美國	9.0	8	10864	2481663	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	46	盛情款待	2018-04-13	中華民國	6.0	9	11573	2472609	True
全國電影票房2018年01/15-01/21統計資訊	67.pdf	4	29	衝組	2017-12-29	中華民國	4.0	28	11235	2448810	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	84	霓裳魅影	2018-02-02	美國	16.0	21	11601	2444052	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	19	文豪STRAYDOGS劇場版［DEADAPPLE］	2018-05-04	日本	3.0	8	9578	2330210	True
全國電影票房2017年11/13-11/19統計資訊	46.pdf	5	3	愛情昏迷中	2017-09-08	美國	11.0	25	10206	2322353	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	3	100公尺的人生	2017-04-28	西班牙	28.0	19	10475	2305177	False
全國電影票房截至2017年五月前資訊	34.pdf	7	55	一念無明	2017-04-07	香港	10.0	11	9996	2274634	False
全國電影票房截至2017年四月前資訊	33.pdf	9	85	劇場版艦隊COLLECTION	2017-03-17	日本	8.0	7	9257	2262352	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	7	62	異人族(數位IMAX2D版)	2017-09-01	美國	10.0	9	7261	2255045	False
全國電影票房截至2017年二月前資訊	31.pdf	0	10	心靈時鐘	2016-11-18	中華民國	16.0	27	10206	2247718	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	5	59	鬼搖靈	2018-03-09	南韓	10.0	14	9745	2236567	False
全國電影票房截至2017年七月前資訊	36.pdf	6	68	愚行錄	2017-06-09	日本	9.0	12	9909	2196810	False
全國電影票房截至2017年九月前資訊	38.pdf	2	31	全面封鎖	2017-06-16	美國	17.0	31	11663	2192759	False
全國電影票房截至2017年六月前資訊	35.pdf	14	98	《以愛為名》	2017-05-19	中華民國	8.0	13	9876	2191014	False
全國電影票房2017年11/20-11/26統計資訊	47.pdf	3	10	阿莉芙	2017-10-27	中華民國	5.0	18	9868	2171278	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	7	87	勝負反手拍	2017-11-24	美國	17.0	27	10170	2159582	False
全國電影票房截至2017年三月前資訊	32.pdf	4	45	黑吃黑	2017-01-13	匈牙利	13.0	34	10615	2061937	False
全國電影票房截至2017年四月前資訊	33.pdf	5	43	合約男女	2017-02-17	香港	12.0	30	8920	2006054	False
全國電影票房截至2017年三月前資訊	32.pdf	2	24	鐵道飛虎	2016-12-30	中國大陸	15.0	43	9340	2001760	False
全國電影票房截至2017年三月前資訊	32.pdf	3	30	何者	2017-01-06	日本	14.0	11	8719	1980025	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	4	10	亞人	2017-11-03	日本	5.0	35	8507	1959708	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	6	78	抓狂美術館	2018-01-19	瑞典 	12.0	9	8628	1931161	False
全國電影票房截至2017年三月前資訊	32.pdf	4	44	偷天對決	2017-01-13	南韓	13.0	22	8413	1908050	False
全國電影票房截至2017年一月前資訊	27.pdf	0	2	秘密(2016)	2016-11-04	日本	14.0	12	8165	1907207	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	5	75	最後的食譜：麒麟之舌	2018-01-22	日本 	11.0	32	8703	1902704	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	7	73	海闊天空	2017-10-07	中華民國	13.0	4	8159	1894119	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	96	積存時間的生活	2017-11-10	日本	28.0	7	8801	1885719	True
全國電影票房2018年04/16-04/22統計資訊	83.pdf	3	41	電影配樂傳奇	2018-03-09	美國	7.0	7	8364	1869959	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	8	63	狂獸	2017-12-08	香港	9.0	54	8360	1845879	False
全國電影票房2017年11/13-11/19統計資訊	46.pdf	7	4	花戰	2017-07-28	日本	17.0	13	8768	1838124	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	4	51	你只欠我一個道歉	2018-03-23	黎巴嫩	8.0	9	8569	1819820	False
全國電影票房截至2017年七月前資訊	36.pdf	8	93	塔莎杜朵，一個人的田園生活	2017-06-23	日本	7.0	8	8453	1811355	False
全國電影票房2018年01/08-01/14統計資訊	66.pdf	9	70	金牌特勤隊	2017-09-15	英國	18.0	28	9099	1781963	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	11	83	追兇	2017-11-10	美國	13.0	31	8655	1778993	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	21	地球：奇蹟的一天	2018-05-04	英國	3.0	28	7693	1751119	True
全國電影票房2018年03/05-03/11統計資訊	77.pdf	3	40	歡迎光臨奇幻城堡	2018-01-22	美國	7.0	16	7831	1731500	False
全國電影票房截至2017年二月前資訊	31.pdf	1	17	不過就是世界末日	2016-12-02	加拿大	14.0	12	7840	1725592	False
全國電影票房截至2017年五月前資訊	34.pdf	3	23	古都	2017-02-24	日本	16.0	8	8479	1723950	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	6	49	《少女與戰車最終章》第１話	2017-12-29	日本	6.0	23	6962	1722726	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	10	89	地獄哪有那麼HIGH！	2016-08-26	日本	79.0	1	7591	1684995	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	45	獨帆之聲	2018-04-20	法國	5.0	17	7392	1675199	True
全國電影票房截至2017年三月前資訊	32.pdf	3	27	顛父人生	2016-12-30	德國	15.0	9	7826	1670759	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	114	穆荷蘭大道	2017-09-29	美國	6.0	10	7753	1662000	False
全國電影票房截至2017年二月前資訊	31.pdf	0	1	烈火邊境	2016-11-04	匈牙利	18.0	34	8607	1648905	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	4	43	抓狂酒吧	2017-08-11	西班牙	13.0	12	7449	1638005	False
全國電影票房截至2017年二月前資訊	31.pdf	0	16	卡內陰	2016-12-02	美國	14.0	27	7596	1631403	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	6	45	JOJO的奇妙冒險不滅鑽石	2018-01-05	日本	5.0	23	6939	1629947	False
全國電影票房截至2017年四月前資訊	33.pdf	9	83	乘風破浪	2017-03-17	中國大陸	8.0	18	6950	1623028	False
全國電影票房截至2017年六月前資訊	35.pdf	4	36	神奇大隊長	2017-03-24	匈牙利	16.0	17	7587	1608675	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	7	77	無路可退	2017-11-24	美國	16.0	13	8032	1599216	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	3	40	寂寞大師	2018-04-04	英國	5.0	15	7077	1576524	False
全國電影票房截至2017年一月前資訊	27.pdf	2	41	終極追殺令	2016-11-25	法國	11.0	7	6840	1576154	False
全國電影票房截至2017年一月前資訊	27.pdf	0	3	進擊之路	2016-11-04	中華民國	14.0	14	7287	1560563	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	100	自畫像	2017-09-22	中華民國	7.0	14	7011	1556885	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	5	3	三十ㄦ立	2017-09-18	香港	8.0	7	6599	1552180	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	72	那才是我的世界	2018-02-23	南韓	13.0	25	6811	1520714	True
全國電影票房2018年01/29-02/04統計資訊	69.pdf	11	88	季春奶奶	2017-10-27	南韓	15.0	11	6870	1515336	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	5	夢想心樂章	2018-05-11	美國	2.0	22	6607	1505421	True
全國電影票房截至2017年六月前資訊	35.pdf	2	20	她的危險遊戲	2017-02-17	美國	21.0	12	7294	1505231	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	2	35	反叛的魯路修I興道	2018-04-20	日本	4.0	7	6084	1492325	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	2	30	請問您今天要來點兔子嗎？～DEARMYSISTER～	2018-01-22	日本	3.0	6	6094	1485435	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	5	63	劫孕	2018-01-26	英國	10.0	25	6489	1484810	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	20	電影版機器戰士TOBOT～機器人軍團的襲擊～	2018-05-04	南韓	3.0	23	6370	1480714	True
全國電影票房截至2017年四月前資訊	33.pdf	10	86	白蟻	2017-03-17	中華民國	8.0	9	6626	1476490	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	7	90	逃出亞馬遜	2017-12-15	澳洲 	17.0	9	7253	1461234	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	5	47	忍者之國	2017-11-24	日本	5.0	6	6326	1447889	False
全國電影票房截至2017年七月前資訊	36.pdf	3	34	攻殼機動隊1995	2017-05-05	日本	14.0	11	6237	1443411	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	5	41	菜鳥警校生	2017-12-01	南韓	4.0	21	6237	1433121	False
全國電影票房截至2017年六月前資訊	35.pdf	1	14	喜歡上你的那瞬間	2017-02-10	日本	22.0	7	5914	1424866	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	7	89	柏靈頓熊熊出任務	2017-12-01	英國	18.0	30	6668	1412617	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	2	26	溫蒂的幸福劇本	2018-03-23	美國	4.0	30	6188	1399727	False
全國電影票房截至2017年三月前資訊	32.pdf	3	26	通靈美人	2016-12-30	法國	15.0	37	6907	1395997	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	2	26	青梅竹馬(數位修復版)	2017-07-24	中華民國	15.0	8	6393	1389552	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	4	33	常在你左右	2017-11-17	香港	4.0	31	6133	1376639	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	5	48	魔法少女奈葉REFLECTION	2017-11-17	日本	7.0	9	5608	1353947	False
全國電影票房截至2017年六月前資訊	35.pdf	10	68	唱吧！奇蹟！	2017-05-05	日本	10.0	9	5650	1339868	False
全國電影票房截至2017年四月前資訊	33.pdf	3	29	幸福湯屋	2017-01-26	日本	15.0	8	6556	1318150	False
全國電影票房截至2017年六月前資訊	35.pdf	16	110	為妳唱的歌	2017-05-26	美國	7.0	10	5829	1317627	False
全國電影票房截至2017年二月前資訊	31.pdf	0	11	路易的第9條命	2016-11-18	英國	16.0	34	6589	1316001	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	10	80	名叫海賊的男人	2017-07-14	日本	22.0	11	6133	1314345	False
全國電影票房截至2017年一月前資訊	27.pdf	1	35	暗殺教室劇場版365日倒數計時	2016-11-25	日本	11.0	6	5476	1295762	False
全國電影票房截至2017年八月前資訊	37.pdf	5	57	明月幾時有	2017-07-07	香港	10.0	17	5789	1287576	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	6	48	發條橘子	2017-12-29	英國	6.0	8	5755	1285428	False
全國電影票房截至2017年三月前資訊	32.pdf	3	37	我不是潘金蓮	2017-01-13	中國大陸	13.0	30	5969	1284656	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	4	34	鬼壓床	2017-12-08	美國	5.0	15	5696	1277204	False
全國電影票房截至2017年九月前資訊	38.pdf	7	72	艾蜜莉的異想世界	2017-08-04	法國	10.0	6	5795	1269805	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	10	100	V・I・P・	2017-09-28	南韓	20.0	14	5692	1254773	False
全國電影票房截至2017年四月前資訊	33.pdf	8	69	金金計較	2017-03-10	法國	9.0	10	5970	1253927	False
全國電影票房截至2017年九月前資訊	38.pdf	2	22	失落之城	2017-06-02	美國	19.0	11	6784	1253859	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	10	91	曼菲	2017-09-15	中華民國	8.0	11	5788	1250335	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	3	40	只殺陌生人	2018-04-20	英國	4.0	13	5556	1245223	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	6	7	雙面愛人	2017-08-18	法國	13.0	7	5895	1242915	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	4	46	多桑不在家	2018-03-30	日本	5.0	9	5665	1240575	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	101	鬥陣俱樂部	2017-09-22	美國	7.0	10	5538	1240062	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	8	74	青春後空翻	2017-09-08	日本	9.0	36	5455	1225539	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	42	人生無限露營車	2018-04-20	義大利	5.0	10	5697	1223262	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	58	記憶中的擁抱	2018-03-16	英國	10.0	16	5384	1194649	True
全國電影票房2018年04/02-04/08統計資訊	81.pdf	7	91	犯罪都市	2017-12-15	南韓 	17.0	16	5684	1194601	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	4	47	消屍的夜晚	2018-03-30	南韓	5.0	8	5250	1192363	False
全國電影票房截至2017年八月前資訊	37.pdf	6	70	貓咪收集之家	2017-07-14	日本	9.0	15	5315	1190165	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	6	70	機器之血	2018-01-12	香港	11.0	26	5929	1187667	False
全國電影票房截至2017年九月前資訊	38.pdf	4	51	海灘的一天	2017-07-14	中華民國	13.0	6	5235	1178525	False
全國電影票房截至2017年二月前資訊	31.pdf	4	62	冤親債主	2017-01-06	美國	9.0	14	5434	1167505	False
全國電影票房截至2017年一月前資訊	27.pdf	2	50	行者三太子-迎向曙光	2016-12-02	中華民國	10.0	8	5439	1166546	False
全國電影票房截至2017年六月前資訊	35.pdf	5	44	愛上火星男孩	2017-04-07	美國	14.0	32	6326	1159073	False
全國電影票房截至2017年一月前資訊	27.pdf	0	10	熔爐	2016-11-11	南韓	13.0	8	5164	1158503	False
全國電影票房截至2017年四月前資訊	33.pdf	4	34	黑貓魯道夫	2017-02-03	日本	14.0	17	5126	1153036	False
全國電影票房截至2017年八月前資訊	37.pdf	7	81	青禾男高	2017-07-21	中國大陸	8.0	13	5072	1151594	False
